episode,reward,length,deterministic,env,steps_trained
1,175.0,65,True,ALE/SpaceInvaders-v5,500000
2,25.0,18,True,ALE/SpaceInvaders-v5,500000
3,185.0,67,True,ALE/SpaceInvaders-v5,500000
4,0.0,16,True,ALE/SpaceInvaders-v5,500000
5,0.0,13,True,ALE/SpaceInvaders-v5,500000
6,140.0,48,True,ALE/SpaceInvaders-v5,500000
7,380.0,145,True,ALE/SpaceInvaders-v5,500000
8,25.0,51,True,ALE/SpaceInvaders-v5,500000
9,215.0,62,True,ALE/SpaceInvaders-v5,500000
10,235.0,82,True,ALE/SpaceInvaders-v5,500000
11,105.0,135,True,ALE/SpaceInvaders-v5,500000
12,110.0,47,True,ALE/SpaceInvaders-v5,500000
13,0.0,10,True,ALE/SpaceInvaders-v5,500000
14,0.0,12,True,ALE/SpaceInvaders-v5,500000
15,80.0,29,True,ALE/SpaceInvaders-v5,500000
16,25.0,20,True,ALE/SpaceInvaders-v5,500000
17,0.0,10,True,ALE/SpaceInvaders-v5,500000
18,140.0,50,True,ALE/SpaceInvaders-v5,500000
19,45.0,36,True,ALE/SpaceInvaders-v5,500000
20,75.0,34,True,ALE/SpaceInvaders-v5,500000
21,220.0,71,True,ALE/SpaceInvaders-v5,500000
22,0.0,11,True,ALE/SpaceInvaders-v5,500000
23,280.0,85,True,ALE/SpaceInvaders-v5,500000
24,145.0,62,True,ALE/SpaceInvaders-v5,500000
25,0.0,11,True,ALE/SpaceInvaders-v5,500000
26,0.0,15,True,ALE/SpaceInvaders-v5,500000
27,190.0,60,True,ALE/SpaceInvaders-v5,500000
28,50.0,43,True,ALE/SpaceInvaders-v5,500000
29,435.0,80,True,ALE/SpaceInvaders-v5,500000
30,105.0,39,True,ALE/SpaceInvaders-v5,500000
31,70.0,33,True,ALE/SpaceInvaders-v5,500000
32,45.0,25,True,ALE/SpaceInvaders-v5,500000
33,75.0,29,True,ALE/SpaceInvaders-v5,500000
34,325.0,74,True,ALE/SpaceInvaders-v5,500000
35,0.0,11,True,ALE/SpaceInvaders-v5,500000
36,105.0,38,True,ALE/SpaceInvaders-v5,500000
37,0.0,12,True,ALE/SpaceInvaders-v5,500000
38,0.0,10,True,ALE/SpaceInvaders-v5,500000
39,120.0,45,True,ALE/SpaceInvaders-v5,500000
40,480.0,119,True,ALE/SpaceInvaders-v5,500000
41,140.0,53,True,ALE/SpaceInvaders-v5,500000
42,75.0,31,True,ALE/SpaceInvaders-v5,500000
43,470.0,215,True,ALE/SpaceInvaders-v5,500000
44,0.0,33,True,ALE/SpaceInvaders-v5,500000
45,320.0,109,True,ALE/SpaceInvaders-v5,500000
46,0.0,11,True,ALE/SpaceInvaders-v5,500000
47,90.0,32,True,ALE/SpaceInvaders-v5,500000
48,100.0,37,True,ALE/SpaceInvaders-v5,500000
49,105.0,41,True,ALE/SpaceInvaders-v5,500000
50,0.0,17,True,ALE/SpaceInvaders-v5,500000
51,250.0,86,True,ALE/SpaceInvaders-v5,500000
52,50.0,25,True,ALE/SpaceInvaders-v5,500000
53,65.0,25,True,ALE/SpaceInvaders-v5,500000
54,355.0,115,True,ALE/SpaceInvaders-v5,500000
55,80.0,56,True,ALE/SpaceInvaders-v5,500000
56,15.0,40,True,ALE/SpaceInvaders-v5,500000
57,0.0,14,True,ALE/SpaceInvaders-v5,500000
58,105.0,29,True,ALE/SpaceInvaders-v5,500000
59,30.0,34,True,ALE/SpaceInvaders-v5,500000
60,125.0,40,True,ALE/SpaceInvaders-v5,500000
61,105.0,44,True,ALE/SpaceInvaders-v5,500000
62,40.0,31,True,ALE/SpaceInvaders-v5,500000
63,125.0,40,True,ALE/SpaceInvaders-v5,500000
64,0.0,10,True,ALE/SpaceInvaders-v5,500000
65,30.0,25,True,ALE/SpaceInvaders-v5,500000
66,0.0,14,True,ALE/SpaceInvaders-v5,500000
67,50.0,21,True,ALE/SpaceInvaders-v5,500000
68,175.0,63,True,ALE/SpaceInvaders-v5,500000
69,190.0,63,True,ALE/SpaceInvaders-v5,500000
70,265.0,131,True,ALE/SpaceInvaders-v5,500000
71,0.0,13,True,ALE/SpaceInvaders-v5,500000
72,85.0,27,True,ALE/SpaceInvaders-v5,500000
73,115.0,56,True,ALE/SpaceInvaders-v5,500000
74,0.0,12,True,ALE/SpaceInvaders-v5,500000
75,55.0,30,True,ALE/SpaceInvaders-v5,500000
